id_post,user_id,user_name,comment_content,comment_time,reaction_detail
5068997,1052821092,hihihaha,Siêu điện thoại với hệ điều hành tầm cỡ vũ trụ Huawei không biết làm ăn kiểu gì mà để Iphone làm mưa làm gió thế kia. Đúng là siêu điện thoại cỏ,10:38 02/05/2026,"{""Thích"": 51, ""Ngạc nhiên"": 1, ""Buồn"": 1}"
5068997,1068638743,Rụng răng thích hun,Uýt đau nhể. ???,13:38 02/05/2026,"{""Thích"": 6}"
5068997,1047517702,Jason Wong,"Làm thấy ghê, tui xài 2 máy ip 17pro max và Xiaomi 15t thì ip hiệu năng và pin cũng chỉ nhỉn hơn Xiaomi 1 xíu xíu, nhưng chụp hình thì thua xa Xiaomi, giá thì 1 con 37tr, 1 con 11tr.",15:38 02/05/2026,"{""Thích"": 2, ""Buồn"": 1}"
5068997,1002614573,Tuanguyen,@Jason Wong : Vậy năm nay bạn lại mua 18pm để có cái so sánh với Xiaomi nữa nhé.,17:38 02/05/2026,"{""Thích"": 1}"
5068997,1052821092,hihihaha,"@Jason Wong : Nghe đến đoạn chụp hình là biết rồi, sao phải tự dối lòng là đang xài Iphone mà hẳn 17Promax mới kinh chứ",17:38 02/05/2026,"{""Thích"": 1}"
5068997,1062928660,Say,Nó cũng lập kỹ lục dòng iphone xấu nhất,10:38 02/05/2026,"{""Thích"": 51}"
5068997,1086018296,aspirationmore,Sai.,10:38 02/05/2026,"{""Thích"": 4}"
5068997,1002867567,tranvantruoc,"Xấu thì không hẳn (nhìn không hài hoà bằng đời trước thôi), nhưng cứ phải làm sao nhìn khác đời trước là lượm tiền thôi!",10:38 02/05/2026,"{""Thích"": 24}"
5068997,1052821092,hihihaha,"Vài người lạ thật, cứ phải tưởng tượng ra những chi tiết thật lạ để thể hiện mình đi ngược, mà đi ngược là do chưa thể sở hữu thôi",10:38 02/05/2026,"{""Thích"": 49, ""Ngạc nhiên"": 1}"
5068997,1063463683,ctyxnkbaitho,Xấu hay không vẫn bán đều thu tiền đều là được.,10:38 02/05/2026,"{""Thích"": 35}"
5068997,1022491169,Linh Phan,"Dòng ip xấu nhất nhưng vẫn đẹp hơn khối adr còn lại, vẫn top bảng xếp hạng hàng chục năm liền. anti cứ chê, ip cứ lập kỷ lục mới",11:38 02/05/2026,"{""Thích"": 13, ""Ngạc nhiên"": 1}"
5068997,1052386110,vuongquoctuan01,"Sài iphone mà cứ nhìn ngoại hình chắc mỗi ae ifan,chắc đó giờ kg có iphone sài nên chẳng biết do đâu",12:38 02/05/2026,"{""Thích"": 6}"
5068997,1052425081,JimmyTeo,Mình dùng SS nhưng thấy đời iphone này lại khá hầm hố bắt mắt đấy chứ!?,12:38 02/05/2026,"{""Thích"": 7}"
5068997,1056774363,tu0gthena0000,@hihihaha : T dùng các đời IP cũng phải khẳng định là dòng 17pm năm này xấu tệ,12:38 02/05/2026,"{""Thích"": 7}"
5068997,1100586028,Long Bao,"Kẻ bán ế cứ chê người bán chạy hàng đang bán hàng xấu, hàng tệ haha",12:38 02/05/2026,"{""Thích"": 9}"
5068997,1027787115,baotri.tvl,@tu0gthena0000 : Xấu nhưng ra 18 hay 19 xấu hơn 17 bạn vẫn mua cơ mà. Vậy thì có cần quan tâm nó xấu không. Người ta mua Iphone không phải vì nó đẹp.,15:38 02/05/2026,"{""Thích"": 4}"
5068997,1121737231,tanhoi54321,"Vc mình cũng góp phần 2 con 17 Pro Max, đi toi gần trăm triệu...",10:38 02/05/2026,"{""Thích"": 24}"
