post_id,topic_id,topic_probability,model_type,predicted_at
5067659,3,0.730292022228241,lda,2026-04-30T17:37:21Z
5067644,6,0.9992466568946838,lda,2026-04-30T17:37:21Z
5067660,3,0.9404950141906738,lda,2026-04-30T17:37:21Z
5066902,9,0.9952613711357117,lda,2026-04-30T17:37:21Z
5067320,1,0.6474258899688721,lda,2026-04-30T17:37:21Z
5066904,5,0.6606600880622864,lda,2026-04-30T17:37:21Z
5065882,6,0.9985194802284241,lda,2026-04-30T17:37:21Z
5064876,6,0.7982171773910522,lda,2026-04-30T17:37:21Z
5064878,5,0.9940764307975769,lda,2026-04-30T17:37:21Z
5065036,1,0.9087458252906799,lda,2026-04-30T17:37:21Z
5064880,5,0.9948241114616394,lda,2026-04-30T17:37:21Z
5065335,4,0.4173976480960846,lda,2026-04-30T17:37:21Z
5064526,5,0.9974416494369507,lda,2026-04-30T17:37:21Z
5064443,3,0.9976491332054138,lda,2026-04-30T17:37:21Z
5060791,3,0.9881929159164429,lda,2026-04-30T17:37:21Z
5063485,5,0.6630450487136841,lda,2026-04-30T17:37:21Z
5063911,9,0.9950530529022217,lda,2026-04-30T17:37:21Z
5063914,5,0.9947034120559692,lda,2026-04-30T17:37:21Z
5063413,0,0.4761183559894562,lda,2026-04-30T17:37:21Z
5063633,2,0.8753792643547058,lda,2026-04-30T17:37:21Z
5063154,8,0.9990755915641785,lda,2026-04-30T17:37:21Z
5062994,9,0.7972245216369629,lda,2026-04-30T17:37:21Z
5062421,9,0.9944429397583008,lda,2026-04-30T17:37:21Z
5067299,5,0.9009338617324829,lda,2026-04-30T17:37:21Z
5066425,1,0.9982818961143494,lda,2026-04-30T17:37:21Z
5065545,3,0.9964830279350281,lda,2026-04-30T17:37:21Z
5062887,2,0.8967888951301575,lda,2026-04-30T17:37:21Z
5062420,8,0.9989113211631775,lda,2026-04-30T17:37:21Z
5062756,3,0.851642370223999,lda,2026-04-30T17:37:21Z
5061996,1,0.49013474583625793,lda,2026-04-30T17:37:21Z
5061842,8,0.9997172355651855,lda,2026-04-30T17:37:21Z
5061320,8,0.5607781410217285,lda,2026-04-30T17:37:21Z
5058375,5,0.9803166389465332,lda,2026-04-30T17:37:21Z
5061397,3,0.31502068042755127,lda,2026-04-30T17:37:21Z
5060970,3,0.42590102553367615,lda,2026-04-30T17:37:21Z
5060593,4,0.8172664642333984,lda,2026-04-30T17:37:21Z
5053935,6,0.9992473125457764,lda,2026-04-30T17:37:21Z
5059377,4,0.5713629722595215,lda,2026-04-30T17:37:21Z
5060296,5,0.9919601082801819,lda,2026-04-30T17:37:21Z
5060050,1,0.5858092904090881,lda,2026-04-30T17:37:21Z
5059755,9,0.7839736342430115,lda,2026-04-30T17:37:21Z
5059457,1,0.4086148142814636,lda,2026-04-30T17:37:21Z
5059021,4,0.7749360799789429,lda,2026-04-30T17:37:21Z
5057878,9,0.9948256015777588,lda,2026-04-30T17:37:21Z
5058648,8,0.9994359016418457,lda,2026-04-30T17:37:21Z
5058851,1,0.998447835445404,lda,2026-04-30T17:37:21Z
5059092,7,0.9961686134338379,lda,2026-04-30T17:37:21Z
5058913,3,0.5690039992332458,lda,2026-04-30T17:37:21Z
5057399,1,0.9969885945320129,lda,2026-04-30T17:37:21Z
5057875,5,0.9927968978881836,lda,2026-04-30T17:37:21Z
5056424,1,0.5047151446342468,lda,2026-04-30T17:37:21Z
5058316,5,0.998511552810669,lda,2026-04-30T17:37:21Z
5057727,2,0.6675431728363037,lda,2026-04-30T17:37:21Z
5055299,7,0.9952864050865173,lda,2026-04-30T17:37:21Z
5058241,3,0.6312135457992554,lda,2026-04-30T17:37:21Z
5057408,1,0.9983661770820618,lda,2026-04-30T17:37:21Z
5056634,5,0.8398351073265076,lda,2026-04-30T17:37:21Z
5057756,4,0.7043318748474121,lda,2026-04-30T17:37:21Z
5057637,4,0.39474937319755554,lda,2026-04-30T17:37:21Z
5056505,1,0.610358476638794,lda,2026-04-30T17:37:21Z
5056524,3,0.9956708550453186,lda,2026-04-30T17:37:21Z
5056430,9,0.8185978531837463,lda,2026-04-30T17:37:21Z
5056319,1,0.3601679801940918,lda,2026-04-30T17:37:21Z
5055300,7,0.7841348648071289,lda,2026-04-30T17:37:21Z
5056026,9,0.9958507418632507,lda,2026-04-30T17:37:21Z
5054871,8,0.999473512172699,lda,2026-04-30T17:37:21Z
5055717,1,0.9282737374305725,lda,2026-04-30T17:37:21Z
5055906,4,0.5383486151695251,lda,2026-04-30T17:37:21Z
5055425,5,0.7749602198600769,lda,2026-04-30T17:37:21Z
5055379,8,0.661826491355896,lda,2026-04-30T17:37:21Z
5054879,7,0.9970189332962036,lda,2026-04-30T17:37:21Z
5054875,1,0.9986953139305115,lda,2026-04-30T17:37:21Z
5054801,3,0.631016194820404,lda,2026-04-30T17:37:21Z
5053990,9,0.8069989085197449,lda,2026-04-30T17:37:21Z
5054177,5,0.9990631341934204,lda,2026-04-30T17:37:21Z
5053634,1,0.7007900476455688,lda,2026-04-30T17:37:21Z
5053355,5,0.9570948481559753,lda,2026-04-30T17:37:21Z
5053356,5,0.9502430558204651,lda,2026-04-30T17:37:21Z
5053358,2,0.9989508390426636,lda,2026-04-30T17:37:21Z
5052375,0,0.9993221163749695,lda,2026-04-30T17:37:21Z
5053148,3,0.9972714185714722,lda,2026-04-30T17:37:21Z
5053090,9,0.9789458513259888,lda,2026-04-30T17:37:21Z
5052845,0,0.9996609091758728,lda,2026-04-30T17:37:21Z
5053024,3,0.9979445338249207,lda,2026-04-30T17:37:21Z
5052003,4,0.9994511008262634,lda,2026-04-30T17:37:21Z
5052191,3,0.8616108298301697,lda,2026-04-30T17:37:21Z
5051650,5,0.846903920173645,lda,2026-04-30T17:37:21Z
5051590,7,0.9969889521598816,lda,2026-04-30T17:37:21Z
5051652,9,0.6588941216468811,lda,2026-04-30T17:37:21Z
5051654,2,0.9990944266319275,lda,2026-04-30T17:37:21Z
5052090,5,0.9591895341873169,lda,2026-04-30T17:37:21Z
5052052,5,0.7233108878135681,lda,2026-04-30T17:37:21Z
5050613,6,0.5470902323722839,lda,2026-04-30T17:37:21Z
5050751,5,0.9993321299552917,lda,2026-04-30T17:37:21Z
5051345,3,0.9982101917266846,lda,2026-04-30T17:37:21Z
69c79d7799c8,3,0.7560679316520691,lda,2026-04-30T17:37:21Z
ea9f6ff11130,6,0.9437209367752075,lda,2026-04-30T17:37:21Z
fd0854b11b91,6,0.8259485960006714,lda,2026-04-30T17:37:21Z
14f0f9454ea2,7,0.5580771565437317,lda,2026-04-30T17:37:21Z
6b207c2ed30c,9,0.8714008331298828,lda,2026-04-30T17:37:21Z
921d2cc2c6f0,1,0.5144686698913574,lda,2026-04-30T17:37:21Z
f2e073f989e5,1,0.8198823928833008,lda,2026-04-30T17:37:21Z
b67f56a715a9,6,0.7357267141342163,lda,2026-04-30T17:37:21Z
5001051cfb75,4,0.6797520518302917,lda,2026-04-30T17:37:21Z
c982990744af,8,0.7520633339881897,lda,2026-04-30T17:37:21Z
39a3fe45d44d,1,0.876491904258728,lda,2026-04-30T17:37:21Z
3e11996bff3f,5,0.8713862895965576,lda,2026-04-30T17:37:21Z
17288f2d45e4,1,0.5158764123916626,lda,2026-04-30T17:37:21Z
ea95c1dfeec6,3,0.4592532217502594,lda,2026-04-30T17:37:21Z
7a90f5155cb5,1,0.6677178144454956,lda,2026-04-30T17:37:21Z
b8ae67f5451d,6,0.9812397956848145,lda,2026-04-30T17:37:21Z
56b064f42594,8,0.95906001329422,lda,2026-04-30T17:37:21Z
45ef9b0241b3,9,0.8713911771774292,lda,2026-04-30T17:37:21Z
a1c3280ea0c2,8,0.5927181839942932,lda,2026-04-30T17:37:21Z
ea99f7e695cc,5,0.7196584939956665,lda,2026-04-30T17:37:21Z
f573625672ba,7,0.9356823563575745,lda,2026-04-30T17:37:21Z
2043b71d2c0f,9,0.9774936437606812,lda,2026-04-30T17:37:21Z
4f6c3ec56d0a,9,0.609065055847168,lda,2026-04-30T17:37:21Z
fdfd3e7bc01b,8,0.5602700114250183,lda,2026-04-30T17:37:21Z
eafd4ce10885,5,0.8713173866271973,lda,2026-04-30T17:37:21Z
1522fb494a85,5,0.9816182851791382,lda,2026-04-30T17:37:21Z
0ee48d8434c6,7,0.9624857306480408,lda,2026-04-30T17:37:21Z
0958dde0a42f,7,0.9356913566589355,lda,2026-04-30T17:37:21Z
37675f895641,1,0.8874178528785706,lda,2026-04-30T17:37:21Z
581f236c7f20,9,0.9799888134002686,lda,2026-04-30T17:37:21Z
72336c71a1e5,9,0.8199766874313354,lda,2026-04-30T17:37:21Z
866709b1a898,6,0.7748777866363525,lda,2026-04-30T17:37:21Z
fc8acb1b9587,3,0.5837027430534363,lda,2026-04-30T17:37:21Z
2755973b8400,2,0.9799927473068237,lda,2026-04-30T17:37:21Z
9e20fcb44b14,6,0.6226037740707397,lda,2026-04-30T17:37:21Z
495354388293,2,0.5614944100379944,lda,2026-04-30T17:37:21Z
1f422134d2d9,8,0.7581698298454285,lda,2026-04-30T17:37:21Z
